Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Bank of Florida - Southeast,PR-125-2010,28-May-10,$595.30 ,$531.70 
Pinehurst Bank,PR-118-2010,21-May-10,$61.20 ,$58.30 
Midwest Bank and Trust Company,PR-116-2010,14-May-10,"$3,170.00 ","$2,420.00 "
Southwest Community Bank,PR-115-2010,14-May-10,$96.60 ,$102.50 
New Liberty Bank,PR-114-2010,14-May-10,$109.10 ,$101.80 
Satilla Community Bank,PR-113-2010,14-May-10,$135.70 ,$134.00 
1st Pacific Bank of California,PR-109-2010,7-May-10,$335.80 ,$291.20 
Towne Bank of Arizona,PR-108-2010,7-May-10,$120.20 ,$113.20 
Access Bank,PR-107-2010,7-May-10,$32.00 ,$32.00 
The Bank of Bonifay,PR-106-2010,7-May-10,$242.90 ,$230.20 
Frontier Bank,PR-101-2010,30-Apr-10,"$3,500.00 ","$3,130.00 "
BC National Banks,PR-100-2010,30-Apr-10,$67.20 ,$54.90 
Champion Bank,PR-099-2010,30-Apr-10,$187.30 ,$153.80 
CF Bancorp,PR-098-2010,30-Apr-10,"$1,650.00 ","$1,430.00 "
Westernbank Puerto Rico,PR-097-2010,30-Apr-10,"$11,940.00 ","$8,620.00 "
R-G Premier Bank of Puerto Rico,PR-096-2010,30-Apr-10,"$5,920.00 ","$4,250.00 "
Eurobank,PR-095-2010,30-Apr-10,"$2,560.00 ","$1,970.00 "
Wheatland Bank,PR-090-2010,23-Apr-10,$437.20 ,$438.50 
Peotone Bank and Trust Company,PR-089-2010,23-Apr-10,$130.20 ,$127.00 
Lincoln Park Savings Bank,PR-088-2010,23-Apr-10,$199.90 ,$171.50 
New Century Bank,PR-087-2010,23-Apr-10,$485.60 ,$492.00 
Citizens Bank & Trust Company of Chicago,PR-086-2010,23-Apr-10,$77.30 ,$74.50 
Broadway Bank,PR-085-2010,23-Apr-10,"$1,200.00 ","$1,100.00 "
Amcore Bank,PR-084-2010,23-Apr-10,"$3,800.00 ","$3,400.00 "
City Bank,PR-082-2010,16-Apr-10,"$1,130.00 ","$1,020.00 "
Tamalpais Bank,PR-081-2010,16-Apr-10,$628.90 ,$487.60 
Innovative Bank,PR-080-2010,16-Apr-10,$268.90 ,$225.20 
Butler Bank,PR-079-2010,16-Apr-10,$268.00 ,$233.20 
Riverside National Bank of Florida,PR-078-2010,16-Apr-10,"$3,420.00 ","$2,760.00 "
AmericanFirst Bank,PR-078-2010,16-Apr-10,$90.50 ,$81.90 
First Federal Bank of North Florida,PR-078-2010,16-Apr-10,$393.30 ,$324.20 
Lakeside Community Bank,PR-077-2010,16-Apr-10,$53.00 ,$52.30 
Beach First National Bank,PR-073-2010,9-Apr-10,$585.10 ,$516.00 
Desert Hills Bank,PR-069-2010,26-Mar-10,$496.60 ,$426.50 
Unity National Bank,PR-068-2010,26-Mar-10,$292.20 ,$264.30 
Key West Bank,PR-067-2010,26-Mar-10,$88.00 ,$67.70 
McIntosh Commercial Bank,PR-066-2010,26-Mar-10,$362.90 ,$343.30 
State Bank of Aurora,PR-062-2010,19-Mar-10,$28.20 ,$27.80 
First Lowndes Bank,PR-061-2010,19-Mar-10,$137.20 ,$131.10 
Bank of Hiawassee,PR-060-2010,19-Mar-10,$377.80 ,$339.60 
Appalachian Community Bank,PR-059-2010,19-Mar-10,"$1,010.00 ",$917.60 
Advanta Bank Corp.,PR-058-2010,19-Mar-10,"$1,600.00 ","$1,500.00 "
Century Security Bank,PR-057-2010,19-Mar-10,$96.50 ,$94.00 
American National Bank,PR-056-2010,19-Mar-10,$70.30 ,$66.80 
Statewide Bank,PR-053-2010,12-Mar-10,$243.20 ,$208.80 
Old Southern Bank,PR-052-2010,12-Mar-10,$315.60 ,$319.70 
Park Avenue Bank,PR-051-2010,12-Mar-10,$520.10 ,$494.50 
LibertyPointe Bank,PR-049-2010,11-Mar-10,$209.70 ,$209.50 
Centennial Bank,PR-046-2010,5-Mar-10,$215.20 ,$205.10 
Waterfield Bank,PR-045-2010,5-Mar-10,$155.60 ,$156.40 
Bank of Illinois,PR-044-2010,5-Mar-10,$211.70 ,$198.50 
Sun American Bank,PR-043-2010,5-Mar-10,$535.70 ,$443.50 
Rainier Pacific Bank,PR-041-2010,26-Feb-10,$717.80 ,$446.20 
Carson River Community Bank,PR-040-2010,26-Feb-10,$51.10 ,$50.00 
La Jolla Bank,PR-034-2010,19-Feb-10,"$3,600.00 ","$2,800.00 "
George Washington Savings Bank,PR-033-2010,19-Feb-10,$412.80 ,$395.30 
The La Coste National Bank,PR-032-2010,19-Feb-10,$53.90 ,$49.30 
Marco Community Bank,PR-031-2010,19-Feb-10,$119.60 ,$117.10 
1st American State Bank of Minnesota,PR-030-2010,5-Feb-10,$18.20 ,$16.30 
American Marine Bank,PR-027-2010,29-Jan-10,$373.20 ,$308.50 
First Regional Bank,PR-026-2010,29-Jan-10,"$2,180.00 ","$1,870.00 "
Community Bank and Trust,PR-025-2010,29-Jan-10,"$1,210.00 ","$1,110.00 "
Marshall Bank,PR-024-2010,29-Jan-10,$59.90 ,$54.70 
Florida Community Bank,PR-023-2010,29-Jan-10,$875.50 ,$795.50 
First National Bank of Georgia,PR-022-2010,29-Jan-10,$832.60 ,$757.90 
Columbia River Bank,PR-018-2010,22-Jan-10,"$1,100.00 ","$1,000.00 "
Evergreen Bank,PR-017-2010,22-Jan-10,$488.50 ,$439.40 
Charter Bank,PR-016-2010,22-Jan-10,"$1,200.00 ",$851.50 
Bank of Leeton,PR-015-2010,22-Jan-10,$20.10 ,$20.40 
Premier American Bank,PR-014-2010,22-Jan-10,$350.90 ,$326.30 
Barnes Banking Company,PR-010-2010,15-Jan-10,$827.80 ,$786.50 
St. Stephen State Bank,PR-009-2010,15-Jan-10,$24.70 ,$23.40 
Town Community Bank and Trust,PR-008-2010,15-Jan-10,$69.60 ,$67.40 
Horizon Bank,PR-004-2010,8-Jan-10,"$1,300.00 ","$1,100.00 "
First Federal Bank of California,PR-239-2009,18-Dec-09,"$6,100.00 ","$4,500.00 "
Imperial Capital Bank,PR-238-2009,18-Dec-09,"$4,000.00 ","$2,800.00 "
Independent Bankers' Bank,PR-237-2009;  PR-006-2010,18-Dec-09,$585.50 ,$511.50 
New South Federal Savings Bank,PR-236-2009,18-Dec-09,"$1,500.00 ","$1,200.00 "
Citizens State Bank,PR-235-2009,18-Dec-09,$168.60 ,$157.10 
Peoples First Community Bank,PR-234-2009,18-Dec-09,"$1,800.00 ","$1,700.00 "
RockBridge Commercial Bank,PR-233-2009,18-Dec-09,$294.00 ,$291.70 
SolutionsBank,PR-227-2009,11-Dec-09,$511.10 ,$421.30 
Valley Capital Bank,PR-226-2009,11-Dec-09,$40.30 ,$41.30 
Republic Federal Bank,PR-225-2009,11-Dec-09,$433.00 ,$352.70 
Greater Atlantic Bank,PR-224-2009,4-Dec-09,$203.00 ,$179.00 
Benchmark Bank,PR-223-2009,4-Dec-09,$170.00 ,$181.00 
AmTrust Bank,PR-222-2009,4-Dec-09,"$12,000.00 ","$8,000.00 "
The Tattnall Bank,PR-221-2009,4-Dec-09,$49.60 ,$47.30 
First Security National Bank,PR-220-2009,4-Dec-09,$128.00 ,$123.00 
The Buckhead Community Bank,PR-219-2009,4-Dec-09,$874.00 ,$838.00 
Commerce Bank of Southwest Florida,PR-211-2009,20-Nov-09,$79.70 ,$76.70 
Pacific Coast National Bank,PR-207-2009,13-Nov-09,$134.40 ,$130.90 
Orion Bank,PR-206-2009,13-Nov-09,"$2,700.00 ","$2,100.00 "
Century Bank,PR-205-2009,13-Nov-09,$728.00 ,$631.00 
United Commercial Bank,PR-201-2009,6-Nov-09,"$11,200.00 ","$7,500.00 "
Gateway Bank of St. Louis,PR-200-2009,6-Nov-09,$27.70 ,$27.90 
Prosperan Bank,PR-199-2009,6-Nov-09,$199.50 ,$175.60 
Home Federal Savings Bank,PR-198-2009,6-Nov-09,$14.90 ,$12.80 
United Security Bank,PR-197-2009,6-Nov-09,$157.00 ,$150.00 
North Houston Bank,PR-195-2009,30-Oct-09,$326.20 ,$308.00 
Madisonville State Bank,PR-195-2009,30-Oct-09,$256.70 ,$225.20 
Citizens National Bank,PR-195-2009,30-Oct-09,$118.20 ,$97.70 
Park National Bank,PR-195-2009,30-Oct-09,"$4,706.10 ","$3,730.90 "
Pacific National Bank,PR-195-2009,30-Oct-09,"$2,335.30 ","$1,762.80 "
California National Bank,PR-195-2009,30-Oct-09,"$7,792.20 ","$6,160.40 "
San Diego National Bank,PR-195-2009,30-Oct-09,"$3,608.10 ","$2,892.40 "
Community Bank of Lemont,PR-195-2009,30-Oct-09,$81.80 ,$81.20 
Bank USA,PR-195-2009,30-Oct-09,$212.80 ,$117.10 
First DuPage Bank,PR-192-2009,23-Oct-09,$279.00 ,$254.00 
Riverview Community Bank,PR-191-2009,23-Oct-09,$108.00 ,$80.00 
Bank of Elmwood,PR-190-2009,23-Oct-09,$327.40 ,$273.20 
Flagship National Bank,PR-189-2009,23-Oct-09,$190.00 ,$175.00 
Hillcrest Bank Florida,PR-188-2009,23-Oct-09,$83.00 ,$84.00 
American United Bank,PR-187-2009,23-Oct-09,$111.00 ,$101.00 
Partners Bank,PR-186-2009,23-Oct-09,$65.50 ,$64.90 
San Joaquin Bank,PR-185-2009,16-Oct-09,$775.00 ,$631.00 
Southern Colorado National Bank,PR-181-2009,2-Oct-09,$39.50 ,$31.90 
Jennings State Bank,PR-180-2009,2-Oct-09,$56.30 ,$52.40 
Warren Bank,PR-179-2009,2-Oct-09,$538.00 ,$501.00 
Georgian Bank,PR-177-2009,25-Sep-09,"$2,000.00 ","$2,000.00 "
Irwin Union Bank,PR-174-2009,18-Sep-09,$493.00 ,$441.00 
Irwin Union Bank and Trust Company,PR-174-2009,18-Sep-09,"$2,700.00 ","$2,100.00 "
Venture Bank,PR-170-2009,11-Sep-09,$970.00 ,$903.00 
Brickwell Community Bank,PR-169-2009,11-Sep-09,$72.00 ,$63.00 
Corus Bank,PR-168-2009,11-Sep-09,"$7,000.00 ","$7,000.00 "
First State Bank,PR-165-2009,4-Sep-09,$105.00 ,$95.00 
Platinum Community Bank,PR-164-2009,4-Sep-09,$345.60 ,$305.00 
Vantus Bank,PR-163-2009,4-Sep-09,$458.00 ,$368.00 
