Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Connecticut Bank of Commerce,PR-80-2002; PR-74-2002,26-Jun-02,$398.60 ,$323.70 
New Century Bank,PR-38-2002,28-Mar-02,$19.00 ,$18.00 
Net 1st National Bank,PR-26-2002,1-Mar-02,$34.70 ,$23.90 
NextBank,PR-16-2002,7-Feb-02,$700.00 ,$554.00 
Oakwood Deposit Bank Company,PR-11-2002; PR-10-2002,1-Feb-02,$72.30 ,$60.20 
Bank of Sierra Blanca,PR-5-2002,18-Jan-02,$10.80 ,$9.80 
Hamilton Bank,PR-3-2002,11-Jan-02,"$1,300.00 ","$1,200.00 "
Sinclair National Bank,PR-63-2001,7-Sep-01,$30.70 ,$25.70 
Superior Bank,PR-52-2001,27-Jul-01,"$2,300.00 ","$1,600.00 "
The Malta National Bank,PR-32-2001,3-May-01,$9.50 ,$8.80 
First Alliance Bank & Trust Company,PR-11-2001,2-Feb-01,$18.40 ,$17.50 
